Weight,Height,BMI,Gender,Age,BMIcase,Exercise Plan,Full Workout
92.08519020069818,1.7602495143340122,29.71948799321624,Female,59,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
left hook. boxing : 4세트 x 8~12회
cable pushdown : 4세트 x 8~12회
smith incline reverse-grip press : 4세트 x 8~12회
dumbbell lying wide curl : 4세트 x 8~12회
bodyweight kneeling triceps extension : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 루틴은 체력을 향상시키고 근육을 강화하는 데 도움이 됩니다. 꾸준히 운동하면 좋은 결과를 얻을 수 있을 것입니다. 파이팅!"
61.08912444471096,1.595498707757723,23.997775552178616,Female,25,normal,4,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
exercise ball back extension with knees off ground : 4세트 x 8~12회
smith back shrug : 4세트 x 8~12회
dumbbell seated neutral wrist curl : 4세트 x 8~12회
swimmer kicks v. 2 (male) : 4세트 x 8~12회
standing pelvic tilt : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 운동 계획은 다양한 근육 그룹을 포함하고 있습니다. 각 운동을 올바른 자세로 수행하여 부상을 방지하세요. 좋은 운동 되세요!"
82.45403663089465,1.816538312922449,24.98749945937673,Female,50,normal,4,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
battling ropes : 4세트 x 8~12회
cable seated one arm concentration curl : 4세트 x 8~12회
barbell curl : 4세트 x 8~12회
band front raise : 4세트 x 8~12회
dumbbell biceps curl v sit on bosu ball : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이와 같은 균형 잡힌 운동 루틴을 통해 다양한 근육을 골고루 발달시킬 수 있습니다. 자신에게 맞는 강도와 세트 수를 조절하면서 운동해 보세요. 즐거운 운동 되세요!"
101.71330612932992,1.7906964553733635,31.72004707263985,Female,62,obese,6,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
gironda sternum chin : 4세트 x 8~12회
cable tuck reverse crunch : 4세트 x 8~12회
dumbbell standing around world : 4세트 x 8~12회
barbell pullover : 4세트 x 8~12회
dumbbell lying one arm rear lateral raise : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 루틴은 체력을 향상시키고 근육을 강화하는 데 도움이 됩니다. 꾸준히 운동하면 좋은 결과를 얻을 수 있을 것입니다. 파이팅!"
99.60952715984465,1.9697256324734556,25.67375576901369,Male,57,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
smith standing leg calf raise : 4세트 x 8~12회
dumbbell reverse bench press : 4세트 x 8~12회
kettlebell front squat : 4세트 x 8~12회
sit-up v. 2 : 4세트 x 8~12회
korean dips : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 루틴은 체력을 향상시키고 근육을 강화하는 데 도움이 됩니다. 꾸준히 운동하면 좋은 결과를 얻을 수 있을 것입니다. 파이팅!"
99.0412481802722,1.852777770457074,28.851569415284683,Male,46,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
assisted lying glutes stretch : 4세트 x 8~12회
pull-in (on stability ball) : 4세트 x 8~12회
dumbbell standing one arm concentration curl : 4세트 x 8~12회
pelvic tilt : 4세트 x 8~12회
modified push up to lower arms : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이와 같은 균형 잡힌 운동 루틴을 통해 다양한 근육을 골고루 발달시킬 수 있습니다. 자신에게 맞는 강도와 세트 수를 조절하면서 운동해 보세요. 즐거운 운동 되세요!"
62.3473366461529,1.5432593143113795,26.17821874644839,Female,35,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
dumbbell standing front raise above head : 4세트 x 8~12회
dumbbell seated one leg calf raise - palm up : 4세트 x 8~12회
dumbbell hammer curls (with arm blaster) : 4세트 x 8~12회
bench pull-ups : 4세트 x 8~12회
cable reverse wrist curl : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 루틴은 체력을 향상시키고 근육을 강화하는 데 도움이 됩니다. 꾸준히 운동하면 좋은 결과를 얻을 수 있을 것입니다. 파이팅!"
89.72590622451526,1.825479895276209,26.925498020073658,Male,24,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
dumbbell push press : 4세트 x 8~12회
dumbbell decline shrug : 4세트 x 8~12회
cable pull through (with rope) : 4세트 x 8~12회
band single leg reverse calf raise : 4세트 x 8~12회
band y-raise : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 운동 계획은 다양한 근육 그룹을 포함하고 있습니다. 각 운동을 올바른 자세로 수행하여 부상을 방지하세요. 좋은 운동 되세요!"
62.038769083754026,1.4759921910847045,28.47705360415278,Female,19,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
cable low seated row : 4세트 x 8~12회
cable standing up straight crossovers : 4세트 x 8~12회
battling ropes : 4세트 x 8~12회
cable triceps pushdown (v-bar) (with arm blaster) : 4세트 x 8~12회
barbell incline shoulder raise : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이와 같은 균형 잡힌 운동 루틴을 통해 다양한 근육을 골고루 발달시킬 수 있습니다. 자신에게 맞는 강도와 세트 수를 조절하면서 운동해 보세요. 즐거운 운동 되세요!"
67.6756124682846,1.5360754211274583,28.681847000874825,Female,38,over weight,5,"워밍업
스트레칭 10분
런닝머신 10분

근력 운동
barbell wide bench press : 4세트 x 8~12회
front lever : 4세트 x 8~12회
dumbbell straight leg deadlift : 4세트 x 8~12회
cable decline press : 4세트 x 8~12회
cable standing one arm triceps extension : 4세트 x 8~12회

유산소 운동
HIIT 자전거 20분

쿨다운 및 스트레칭
쿨다운 및 스트레칭 : 10분

이 루틴은 체력을 향상시키고 근육을 강화하는 데 도움이 됩니다. 꾸준히 운동하면 좋은 결과를 얻을 수 있을 것입니다. 파이팅!"
